Z_idx,physics,r_pearson,p_pearson,r_spearman,p_spearman,p_adj
4,Atomic Mass,-0.23376617216952866,4.921574633624073e-63,-0.13986061643220873,2.901411409380943e-23,9.34265015196434e-63
4,Electronegativity,0.46234423839084704,2.3795132882383423e-263,0.43338700314738915,4.2717462944286617e-228,1.1104395345112264e-262
4,Valence Electrons,-0.4857118523816194,2.1651028014243948e-294,-0.5155567454934801,0.0,1.2762711250501695e-293
4,Atomic Radius,-0.20546063040600768,8.466537306820254e-49,-0.09508928925822216,1.6122645279255823e-11,1.4153017587520425e-48
4,Thermal Conductivity,0.0495063536701681,0.00046195325131647954,0.1263835468225095,2.953819305977273e-19,0.0005226137792671284
4,Density,-0.37739381959102575,5.2580657669851563e-169,-0.37992042144751365,1.9664776887609788e-171,1.68258104543525e-168
4,Fusion Heat,-0.31337051473915584,2.3704788881349943e-114,-0.41994363990584366,7.352461333604503e-213,5.648800754704667e-114
5,Atomic Mass,-0.24473001146964568,4.293135814397216e-69,-0.1828331524870753,7.73256103122893e-39,8.904281689120151e-69
5,Electronegativity,-0.0013797530345323033,0.9222984235018218,0.08443653682429123,2.2347677521703265e-09,0.9306074183081444
5,Valence Electrons,-0.25974413425839366,6.723933983057003e-78,-0.08371390667033139,3.059096789252116e-09,1.47662863941644e-77
5,Atomic Radius,-0.1665331235064949,2.012752377879559e-32,-0.2901385873075965,1.4190568945572804e-97,3.220403804607294e-32
5,Thermal Conductivity,-0.04707958320166243,0.0008683245624739054,-0.11108703470626136,3.340852801967332e-15,0.0009628945643274991
5,Density,-0.41736120522976183,5.182836105822736e-210,-0.1380025085769198,1.095653344196319e-22,2.0731344423290943e-209
5,Fusion Heat,-0.218941790572655,2.498834442993295e-55,-0.14168287568620425,7.745134893587571e-24,4.442372343099191e-55
6,Atomic Mass,-0.14887754327625669,3.549353099948054e-26,-0.08178336531909043,6.987943136422664e-09,5.300367295922428e-26
6,Electronegativity,0.33408269035308824,1.2218209831149889e-130,0.3260380227835819,3.6793040083143184e-124,3.258189288306637e-130
6,Valence Electrons,-0.4824829124322958,5.8859133353351e-290,-0.6125754232998224,0.0,3.139153778845387e-289
6,Atomic Radius,-0.04905572530937981,0.0005204866321837302,0.04522155449298573,0.0013815243875625854,0.0005829450280457778
6,Thermal Conductivity,0.1388493624079733,5.993019185044397e-23,0.2903056719706614,1.0884631256171902e-97,8.717118814610032e-23
6,Density,-0.31600428064949815,2.3683800858075938e-116,-0.3731084218736022,6.143532926853195e-165,5.766490643705446e-116
6,Fusion Heat,-0.38041001660598284,6.620170541207518e-172,-0.5134146105188255,0.0,2.180762060633065e-171
7,Atomic Mass,-0.08202993714108892,6.294729199445179e-09,-0.1492476408795476,2.6706752686143516e-26,7.663148590628914e-09
7,Electronegativity,-0.002829054339691433,0.8414846994851719,-0.11466519786860764,4.1926739466883243e-16,0.8646448288288004
7,Valence Electrons,0.36243814432230703,4.484097262474649e-155,0.3861094628358764,1.8054914992237896e-177,1.2877407523004122e-154
7,Atomic Radius,-0.15929453115907372,8.960998868052735e-30,-0.11972565494660305,1.9907068079384892e-17,1.4135660186224034e-29
7,Thermal Conductivity,-0.2365575164641464,1.5092210716405109e-64,-0.28655863428801837,3.9923499263078713e-95,2.9654870179603024e-64
7,Density,0.15261894046717214,1.9357060866434018e-27,0.09757953861735158,4.688663425262966e-12,2.9698504343022054e-27
7,Fusion Heat,0.3559287617133556,3.0643358892648924e-149,0.4015505581614885,4.123637333985222e-193,8.580140489941699e-149
8,Atomic Mass,0.6583995983701503,0.0,0.55191827209937,0.0,0.0
8,Electronegativity,-0.374831066118621,1.4478469558050477e-166,-0.3871689277661333,1.621741257822177e-178,4.3826718662206847e-166
8,Valence Electrons,0.46561377790360003,1.5041281622186181e-267,0.3287379061684197,2.5896733479645688e-126,7.324450181238488e-267
8,Atomic Radius,0.5169906399602,0.0,0.4749522949919794,8.480901322897931e-280,0.0
8,Thermal Conductivity,0.0003305256845274147,0.9813584434575134,-0.08596156269848888,1.1422135405711285e-09,0.9813584434575134
8,Density,0.7166931579511917,0.0,0.5616322401908743,0.0,0.0
8,Fusion Heat,0.045679529200317606,0.0012339706406849693,0.14878008104590815,3.824959960654957e-26,0.0013549481544776133
9,Atomic Mass,-0.37633723488237425,5.363291835113405e-168,-0.2939842442867054,3.0268638378878967e-100,1.6685796820352815e-167
9,Electronegativity,0.22234225555968423,4.777262553598303e-57,0.24176036461159153,2.0164758293232275e-67,8.629893645209838e-57
9,Valence Electrons,-0.4181908104478732,6.343520080261169e-211,-0.29911058602432117,7.170822779751195e-104,2.631386107367596e-210
9,Atomic Radius,-0.3104379934838458,3.786577986443091e-112,-0.31460858441580075,2.73551311148119e-115,8.655035397584208e-112
